snapshot_date,rank,ticker,weight_pct,weight_norm_top10,company_name,target_date,fetched_asof_param
2010-12-31,10,JPM,1.45,0.0781671159029649,JPMORGAN CHASE,2010-12-31,2010-12-31
2011-06-30,1,XOM,3.33,0.180097349918875,EXXON MOBIL CORP,2011-06-30,2011-06-30
2011-06-30,2,AAPL,2.58,0.1395348837209302,APPLE INC,2011-06-30,2011-06-30
2011-06-30,3,IBM,1.73,0.0935640886965927,INTERNATIONAL BUSINESS MACHINES CO,2011-06-30,2011-06-30
2011-06-30,4,CVX,1.72,0.0930232558139535,CHEVRON CORP,2011-06-30,2011-06-30
2011-06-30,5,GEC,1.66,0.0897782585181179,GENERAL ELECTRIC,2011-06-30,2011-06-30
2011-06-30,6,MSFT,1.6,0.0865332612222823,MICROSOFT CORP,2011-06-30,2011-06-30
2011-06-30,7,T,1.54,0.0832882639264467,AT&T INC,2011-06-30,2011-06-30
2011-06-30,8,JNJ,1.51,0.0816657652785289,JOHNSON & JOHNSON,2011-06-30,2011-06-30
2011-06-30,9,PG,1.47,0.0795024337479718,PROCTER & GAMBLE,2011-06-30,2011-06-30
2011-06-30,10,PFE,1.35,0.0730124391563007,PFIZER INC,2011-06-30,2011-06-30
2011-12-31,1,NVDA,7.71,0.208041014570966,NVIDIA CORP,2011-12-31,2011-12-31
2011-12-31,2,AAPL,6.51,0.175661090124123,APPLE INC,2011-12-31,2011-12-31
2011-12-31,3,MSFT,5.17,0.1395035078251484,MICROSOFT CORP,2011-12-31,2011-12-31
2011-12-31,4,AMZN,3.56,0.0960604425256341,AMAZON COM INC,2011-12-31,2011-12-31
2011-12-31,5,GOOGL,3.1,0.0836481381543443,ALPHABET INC CLASS A,2011-12-31,2011-12-31
2011-12-31,6,AVGO,2.68,0.0723151645979492,BROADCOM INC,2011-12-31,2011-12-31
2011-12-31,7,GOOG,2.47,0.0666486778197517,ALPHABET INC CLASS C,2011-12-31,2011-12-31
2011-12-31,8,META,2.35,0.0634106853750674,META PLATFORMS INC CLASS A,2011-12-31,2011-12-31
2011-12-31,9,TSLA,1.93,0.0520777118186724,TESLA INC,2011-12-31,2011-12-31
2011-12-31,10,BRK-B,1.58,0.0426335671883432,BERKSHIRE HATHAWAY INC CLASS B,2011-12-31,2011-12-31
2012-06-30,1,NVDA,7.71,0.208041014570966,NVIDIA CORP,2012-06-30,2012-06-30
2012-06-30,2,AAPL,6.51,0.175661090124123,APPLE INC,2012-06-30,2012-06-30
2012-06-30,3,MSFT,5.17,0.1395035078251484,MICROSOFT CORP,2012-06-30,2012-06-30
2012-06-30,4,AMZN,3.56,0.0960604425256341,AMAZON COM INC,2012-06-30,2012-06-30
2012-06-30,5,GOOGL,3.1,0.0836481381543443,ALPHABET INC CLASS A,2012-06-30,2012-06-30
2012-06-30,6,AVGO,2.68,0.0723151645979492,BROADCOM INC,2012-06-30,2012-06-30
2012-06-30,7,GOOG,2.47,0.0666486778197517,ALPHABET INC CLASS C,2012-06-30,2012-06-30
2012-06-30,8,META,2.35,0.0634106853750674,META PLATFORMS INC CLASS A,2012-06-30,2012-06-30
2012-06-30,9,TSLA,1.93,0.0520777118186724,TESLA INC,2012-06-30,2012-06-30
2012-06-30,10,BRK-B,1.58,0.0426335671883432,BERKSHIRE HATHAWAY INC CLASS B,2012-06-30,2012-06-30
2012-12-31,1,AAPL,3.92,0.2009226037929267,APPLE INC,2012-12-31,2012-12-31
2012-12-31,2,XOM,3.09,0.1583803177857509,EXXON MOBIL CORP,2012-12-31,2012-12-31
2012-12-31,3,GEC,1.72,0.0881599179907739,GENERAL ELECTRIC,2012-12-31,2012-12-31
2012-12-31,4,CVX,1.66,0.0850845720143516,CHEVRON CORP,2012-12-31,2012-12-31
2012-12-31,5,IBM,1.59,0.0814966683751922,INTERNATIONAL BUSINESS MACHINES CO,2012-12-31,2012-12-31
2012-12-31,6,MSFT,1.58,0.0809841107124551,MICROSOFT CORP,2012-12-31,2012-12-31
2012-12-31,7,JNJ,1.52,0.0779087647360328,JOHNSON & JOHNSON,2012-12-31,2012-12-31
2012-12-31,8,T,1.5,0.0768836494105587,AT&T INC,2012-12-31,2012-12-31
2012-12-31,9,GOOGL,1.48,0.0758585340850845,GOOGLE INC CLASS A,2012-12-31,2012-12-31
2012-12-31,10,PG,1.45,0.0743208610968734,PROCTER & GAMBLE,2012-12-31,2012-12-31
2013-06-30,1,NVDA,7.71,0.208041014570966,NVIDIA CORP,2013-06-30,2013-06-30
